               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1035,            0.014938,            0.074679,            0.015444,             0.82803,            0.026896,           0.0055691,            0.068174,            0.011129,            0.046711,              0.0955,              0.0005,              0.0005
                   1,            0.092358,            0.016236,             0.07007,            0.015048,             0.90942,            0.027583,           0.0056663,            0.060209,            0.012547,            0.045143,            0.090098,           0.0010978,           0.0010978
                   2,            0.079969,            0.020544,            0.063898,            0.012877,             0.98684,            0.045135,           0.0083575,            0.052439,            0.013764,            0.042823,            0.084693,           0.0016933,           0.0016933
                   3,            0.073841,            0.021654,            0.057384,            0.011095,                   1,            0.039874,            0.012473,             0.04718,            0.014348,            0.039554,            0.079286,           0.0022863,           0.0022863
                   4,            0.068199,            0.021955,            0.052389,           0.0099087,                   1,            0.097372,            0.026299,            0.042116,            0.014496,            0.036176,            0.073877,            0.002877,            0.002877
                   5,            0.058399,            0.021682,            0.043986,              0.4962,             0.39106,             0.42315,             0.14602,            0.040575,            0.012687,            0.029261,            0.068465,           0.0034654,           0.0034654
                   6,            0.063843,            0.026394,            0.041068,             0.20358,             0.48745,             0.25282,            0.094512,            0.043923,            0.011947,            0.027797,            0.063051,           0.0040513,           0.0040513
                   7,            0.058051,             0.02007,            0.036296,              0.3087,             0.66248,             0.50126,             0.15745,            0.045947,            0.013437,            0.029339,            0.057635,           0.0046349,           0.0046349
                   8,            0.058132,            0.016919,            0.033219,             0.31529,             0.90789,             0.62259,              0.2118,             0.05363,            0.010974,            0.028291,            0.052216,            0.005216,            0.005216
                   9,            0.057097,            0.015098,             0.02557,              0.2827,             0.81579,             0.61331,             0.21863,            0.041962,            0.011867,            0.028164,            0.046795,           0.0057949,           0.0057949
                  10,            0.063256,            0.019635,            0.029903,             0.37029,             0.90789,             0.52531,             0.13473,            0.050005,              0.0111,            0.025743,            0.041371,           0.0063713,           0.0063713
                  11,            0.066035,            0.016714,            0.029319,             0.44114,             0.88311,             0.65821,             0.23936,            0.042479,            0.010119,            0.019693,            0.035945,           0.0069454,           0.0069454
                  12,            0.059606,            0.017912,            0.027045,             0.47011,              0.7444,             0.58248,             0.13446,            0.046048,           0.0095393,            0.015192,            0.030517,            0.007517,            0.007517
                  13,            0.060144,            0.017684,            0.024695,             0.21879,             0.74296,             0.20733,            0.065256,            0.053982,           0.0083472,            0.013315,            0.025086,           0.0080864,           0.0080864
                  14,            0.070497,            0.018359,            0.024599,             0.50818,             0.95408,             0.74603,             0.36451,            0.040794,           0.0084785,            0.013305,            0.019653,           0.0086533,           0.0086533
                  15,            0.063653,            0.017535,            0.021606,             0.34706,             0.68727,             0.66534,             0.27532,            0.037505,            0.008167,            0.012044,            0.014218,           0.0092178,           0.0092178
                  16,            0.060949,            0.015046,            0.019564,             0.39225,             0.72576,             0.45576,            0.098971,            0.054823,           0.0078928,            0.011539,           0.0096832,           0.0096832,           0.0096832
                  17,            0.063214,            0.013364,            0.019662,             0.28933,             0.78244,             0.37857,             0.12673,            0.048197,           0.0083622,           0.0097981,           0.0096832,           0.0096832,           0.0096832
                  18,             0.06204,            0.013224,            0.018559,             0.28226,             0.96359,             0.42187,             0.17052,            0.046364,           0.0082626,           0.0095796,           0.0096634,           0.0096634,           0.0096634
                  19,            0.059766,            0.014381,            0.017973,             0.60525,              0.8877,             0.64859,             0.24029,            0.044607,           0.0089083,            0.010081,           0.0096436,           0.0096436,           0.0096436
                  20,             0.05642,            0.014984,            0.016544,             0.76294,             0.83201,             0.79012,             0.25585,            0.040068,           0.0089397,            0.011217,           0.0096238,           0.0096238,           0.0096238
                  21,            0.058387,            0.014216,             0.01694,             0.63671,             0.83928,             0.80338,             0.30318,            0.039373,           0.0076977,            0.015023,            0.009604,            0.009604,            0.009604
                  22,            0.051727,            0.015417,            0.015601,             0.61243,             0.80018,             0.58741,             0.33571,            0.042845,           0.0075408,            0.015733,           0.0095842,           0.0095842,           0.0095842
